; instrument number
; |  mono=1 or stereo=2 - stereo pitchmdf = 4??? gigsample = 5 with velocity sensitive sample sets
; |  |  base note
; |  |  |  loop 0=no 1=yes
; |  |  |  | subtract from start time samples. Divide sample number by 1/(bpm*2646000)=delay in seconds
; |  |  |  | |    cent adjustment value
; |  |  |  | |    |   File name
 14  2  69 1    0 0   McGill/Partition C/PIPES-PLENUM/ORGPLM-A3.aif
 14  2  76 1    0 0   McGill/Partition C/PIPES-PLENUM/ORGPLM-E4.aif
 14  2  82 1    0 0   McGill/Partition C/PIPES-PLENUM/ORGPLM-A#4.aif
 14  2  88 1    0 0   McGill/Partition C/PIPES-PLENUM/ORGPLM-E5.aif
 14  2  98 1    0 0   McGill/Partition C/PIPES-PLENUM/ORGPLM-D6.aif
 14  2 103 1    0 0   McGill/Partition C/PIPES-PLENUM/ORGPLM-G6.aif
 16  2  50 1    0 0   McGill/Partition D/PIPES-PRINZ/ORGPRZ-D3.aif
 16  2  54 1    0 0   McGill/Partition D/PIPES-PRINZ/ORGPRZ-GB3.aif
 16  2  58 1    0 0   McGill/Partition D/PIPES-PRINZ/ORGPRZ-BB3.aif
 16  2  62 1    0 0   McGill/Partition D/PIPES-PRINZ/ORGPRZ-D4.aif
 16  2  66 1    0 0   McGill/Partition D/PIPES-PRINZ/ORGPRZ-GB4.aif
 16  2  70 1    0 0   McGill/Partition D/PIPES-PRINZ/ORGPRZ-BB4.aif
 16  2  74 1    0 0   McGill/Partition D/PIPES-PRINZ/ORGPRZ-D5.aif
 16  2  78 1    0 0   McGill/Partition D/PIPES-PRINZ/ORGPRZ-GB5.aif
 16  2  82 1    0 0   McGill/Partition D/PIPES-PRINZ/ORGPRZ-BB5.aif
 16  2  86 1    0 0   McGill/Partition D/PIPES-PRINZ/ORGPRZ-D6.aif
 16  2  90 1    0 0   McGill/Partition D/PIPES-PRINZ/ORGPRZ-GB6.aif
 16  2  94 1    0 0   McGill/Partition D/PIPES-PRINZ/ORGPRZ-BB6.aif
 16  2  98 1    0 0   McGill/Partition D/PIPES-PRINZ/ORGPRZ-D7.aif
 16  2 102 1    0 0   McGill/Partition D/PIPES-PRINZ/ORGPRZ-GB7.aif
 17  2  40 1    0 0   McGill/Partition D/PIPES-REEDS/ORGRED-E2.aif
 17  2  46 1    0 0   McGill/Partition D/PIPES-REEDS/ORGRED-A#2.aif
 17  2  52 1    0 0   McGill/Partition D/PIPES-REEDS/ORGRED-E3.aif
 17  2  64 1    0 0   McGill/Partition D/PIPES-REEDS/ORGRED-E4.aif
 17  2  70 1    0 0   McGill/Partition D/PIPES-REEDS/ORGREDA#4.aif
 17  2  76 1    0 0   McGill/Partition D/PIPES-REEDS/ORGREDE5.aif
 17  2  80 1    0 0   McGill/Partition D/PIPES-REEDS/ORGREDG#5.aif
 17  2  86 1    0 0   McGill/Partition D/PIPES-REEDS/ORGRED-D6.aif
 18  2  42 0    0 0   McGill/Partition D/PERCUSSION 1/CUICA-LOW F2.aif
 18  2  43 0    0 0   McGill/Partition D/PERCUSSION 1/ALPGLOCK 1 D4.aif
 18  2  44 0    0 0   McGill/Partition D/PERCUSSION 1/BRAKEDRUM1 E3.aif
 18  2  45 0    0 0   McGill/Partition D/PERCUSSION 1/CABASA HIT D5.aif
 18  2  46 0    0 0   McGill/Partition D/PERCUSSION 1/CASTNT-HIT F3.aif
 18  2  47 0    0 0   McGill/Partition D/PERCUSSION 1/AGOGO 1 G3.aif
 18  2  48 0    0 0   McGill/Partition D/PERCUSSION 1/CUICA-MDLO B2.aif
 18  2  49 0    0 0   McGill/Partition D/PERCUSSION 1/CHINAGONG1.aif
 18  2  50 0    0 0   McGill/Partition D/PERCUSSION 1/ALPGLOCK 2 F4.aif
 18  2  51 0    0 0   McGill/Partition D/PERCUSSION 1/BAMBOOCHM A1.aif
 18  2  52 0    0 0   McGill/Partition D/PERCUSSION 1/CUICA-MDHI E2.aif
 18  2  53 0    0 0   McGill/Partition D/PERCUSSION 1/AGOGO 2 A4.aif
 18  2  54 0    0 0   McGill/Partition D/PERCUSSION 1/CENCERROS1 C3.aif
 18  2  55 0    0 0   McGill/Partition D/PERCUSSION 1/BRAKEDRUM2C2.aif
 18  2  56 0    0 0   McGill/Partition D/PERCUSSION 1/CABASAROLL E4.aif
 18  2  57 0    0 0   McGill/Partition D/PERCUSSION 1/CASTNT-RLL B3.aif
 18  2  58 0    0 0   McGill/Partition D/PERCUSSION 1/CLAVES G4.aif
 18  2  59 0    0 0   McGill/Partition D/PERCUSSION 1/FINGERCYMB D3.aif
 18  2  60 0    0 0   McGill/Partition D/PERCUSSION 1/ICE BELLS B1.aif
 18  2  61 0    0 0   McGill/Partition D/PERCUSSION 1/CENCERROSD2.aif
 18  2  62 0    0 0   McGill/Partition D/PERCUSSION 1/CENCERROS3 B4.aif
 18  2  63 0    0 0   McGill/Partition D/PERCUSSION 1/CUICA-HI A3.aif
 18  2  64 0    0 0   McGill/Partition D/PERCUSSION 1/ALPGLOCK 3 C5.aif
 18  2  65 0    0 0   McGill/Partition D/PERCUSSION 1/ALPGLOCK 4 E5.aif
 18  2  66 0    0 0   McGill/Partition D/PERCUSSION 1/CHINAGONG2.aif
 18  2  67 0    0 0   McGill/Partition D/PERCUSSION 1/CHIMES HIT C4.aif
 18  2  68 0    0 0   McGill/Partition D/PERCUSSION 1/CUICA-SLID A2.aif
;
 19  2  43 0    0 0   McGill/Partition D/PERCUSSION 2/LOG DRUM 1 G1.aif
 19  2  44 0    0 0   McGill/Partition D/PERCUSSION 2/RATCHET G1.aif
 19  2  45 0    0 0   McGill/Partition D/PERCUSSION 2/MARACAS SH C2.aif
 19  2  46 0    0 0   McGill/Partition D/PERCUSSION 2/TAMB-POP C2.aif
 19  2  47 0    0 0   McGill/Partition D/PERCUSSION 2/TEMPBLOCK1 C2.aif
 19  2  48 0    0 0   McGill/Partition D/PERCUSSION 2/TIMBALE-L C2.aif
 19  2  49 0    0 0   McGill/Partition D/PERCUSSION 2/LOG DRUM 2 G2.aif
 19  2  50 0    0 0   McGill/Partition D/PERCUSSION 2/SLEIGHBELL G2.aif
 19  2  51 0    0 0   McGill/Partition D/PERCUSSION 2/MARACAS SR C3.aif
 19  2  52 0    0 0   McGill/Partition D/PERCUSSION 2/MARK-TREED C3.aif
 19  2  53 0    0 0   McGill/Partition D/PERCUSSION 2/TAMB-ROLL C3.aif
 19  2  54 0    0 0   McGill/Partition D/PERCUSSION 2/TIMBALE-LR C3.aif
 19  2  55 0    0 0   McGill/Partition D/PERCUSSION 2/TRIANGLE-L C3.aif
 19  2  56 0    0 0   McGill/Partition D/PERCUSSION 2/WOODBLOCK1 C3.aif
 19  2  57 0    0 0   McGill/Partition D/PERCUSSION 2/LOG DRUM 3 G3.aif
 19  2  58 0    0 0   McGill/Partition D/PERCUSSION 2/TUMBA-CLOS G3.aif
 19  2  59 0    0 0   McGill/Partition D/PERCUSSION 2/MARACAS BH C4.aif
 19  2  60 0    0 0   McGill/Partition D/PERCUSSION 2/TAMB-SHAKE C4.aif
 19  2  61 0    0 0   McGill/Partition D/PERCUSSION 2/TEMPBLOCK2 C4.aif
 19  2  62 0    0 0   McGill/Partition D/PERCUSSION 2/TIMBALE-S C4.aif
 19  2  63 0    0 0   McGill/Partition D/PERCUSSION 2/LOG DRUM 4 G4.aif
 19  2  64 0    0 0   McGill/Partition D/PERCUSSION 2/TUMBA-OPEN G4.aif
 19  2  65 0    0 0   McGill/Partition D/PERCUSSION 2/MARACAS BR C5.aif
 19  2  66 0    0 0   McGill/Partition D/PERCUSSION 2/MARK-TREEU C5.aif
 19  2  67 0    0 0   McGill/Partition D/PERCUSSION 2/TEMPBLOCK3 C5.aif
 19  2  68 0    0 0   McGill/Partition D/PERCUSSION 2/TIMBALE-SR C5.aif
 19  2  69 0    0 0   McGill/Partition D/PERCUSSION 2/TRIANGLE-S C5.aif
 19  2  70 0    0 0   McGill/Partition D/PERCUSSION 2/WOODBLOCK2 C5.aif
 19  2  71 0    0 0   McGill/Partition D/PERCUSSION 2/LOG DRUM 5 G5.aif
 19  2  72 0    0 0   McGill/Partition D/PERCUSSION 2/WHIP G5.aif
; don't forget the reverse piano at 114 - also FF
; checked this one out but could not tune it 8/17/16
 20  2  45 1    0 0   McGill/Partition D/GRAND PIANO/PIANOFF A0.aif
 20  2  55 1    0 0   McGill/Partition D/GRAND PIANO/PIANOFF G1.aif
 20  2  62 1    0 0   McGill/Partition D/GRAND PIANO/PIANOFF D2.aif
 20  2  68 1    0 +1  McGill/Partition D/GRAND PIANO/PIANOFFG#2.aif
 20  2  75 1    0 -1  McGill/Partition D/GRAND PIANO/PIANOFFD#3.aif
 20  2  86 1    0 0   McGill/Partition D/GRAND PIANO/PIANOFF D4.aif
 20  2  91 1    0 0   McGill/Partition D/GRAND PIANO/PIANOFF G4.aif
 20  2 101 1    0 0   McGill/Partition D/GRAND PIANO/PIANOFF F5.aif
 20  2 107 1    0 0   McGill/Partition D/GRAND PIANO/PIANOFF B5.aif
 20  2 109 1    0 0   McGill/Partition D/GRAND PIANO/PIANOFF C#6.aif
 20  2 115 1    0 0   McGill/Partition D/GRAND PIANO/PIANOFF G6.aif
 20  2 125 0    0 0   McGill/Partition D/GRAND PIANO/PIANOFF F7.aif
@ some of these have glitches in the repeating loop
 21  2  46 1    0 0   McGill/Partition D/PEDAL PIANO/P-PED FF A#0.aif
 21  2  55 1    0 0   McGill/Partition D/PEDAL PIANO/P-PED FF G1.aif
 21  2  62 1    0 0   McGill/Partition D/PEDAL PIANO/P-PED FF D2.aif
 21  2  68 1    0 0   McGill/Partition D/PEDAL PIANO/P-PED FF G#2.aif
 21  2  73 1    0 0   McGill/Partition D/PEDAL PIANO/P-PED FF C#3.aif
; something is wrong with this one - wrong intonation
; 21  2  78 1    0 0   McGill/Partition D/PEDAL PIANO/P-PED FF F#3.aif
; this one has a glitch in the loop point
; 21  2  85 1    0 0   McGill/Partition D/PEDAL PIANO/P-PED FF C4.aif
; this one is really out of tune
; 21  2  92 1    0 0   McGill/Partition D/PEDAL PIANO/P-PED FF G#4.aif
; bad loop point
; 21  2  98 1    0 0   McGill/Partition D/PEDAL PIANO/P-PED FF D5.aif
; bad loop point
; 21  2 103 1    0 0   McGill/Partition D/PEDAL PIANO/P-PED FF G5.aif
@
 23  2  36 1    0 0   McGill/Partition E/PIANO HARMON/PIANO-H C2.aif
 23  2  39 0    0 0   McGill/Partition E/PIANO HARMON/PIANO-HD#2.aif
 23  2  45 0    0 0   McGill/Partition E/PIANO HARMON/PIANO-H A2.aif
